id,tag,sequence,statement_type
1,operatingrevenue,1,Commercial Firm Income Statement 
2,otherrevenue,2,Commercial Firm Income Statement 
3,totalrevenue,3,Commercial Firm Income Statement 
4,operatingcostofrevenue,4,Commercial Firm Income Statement 
5,othercostofrevenue,5,Commercial Firm Income Statement 
6,totalcostofrevenue,6,Commercial Firm Income Statement 
7,totalgrossprofit,7,Commercial Firm Income Statement 
8,sgaexpense,8,Commercial Firm Income Statement 
9,marketingexpense,9,Commercial Firm Income Statement 
10,rdexpense,10,Commercial Firm Income Statement 
11,explorationexpense,11,Commercial Firm Income Statement 
12,depreciationexpense,12,Commercial Firm Income Statement 
13,amortizationexpense,13,Commercial Firm Income Statement 
14,depletionexpense,14,Commercial Firm Income Statement 
15,otheroperatingexpenses,15,Commercial Firm Income Statement 
16,impairmentexpense,16,Commercial Firm Income Statement 
17,restructuringcharge,17,Commercial Firm Income Statement 
18,otherspecialcharges,18,Commercial Firm Income Statement 
19,totaloperatingexpenses,19,Commercial Firm Income Statement 
20,totaloperatingincome,20,Commercial Firm Income Statement 
21,totalinterestexpense,21,Commercial Firm Income Statement 
22,totalinterestincome,22,Commercial Firm Income Statement 
23,otherincome,23,Commercial Firm Income Statement 
24,totalotherincome,24,Commercial Firm Income Statement 
25,totalpretaxincome,25,Commercial Firm Income Statement 
26,incometaxexpense,26,Commercial Firm Income Statement 
27,othergains,27,Commercial Firm Income Statement 
28,netincomecontinuing,28,Commercial Firm Income Statement 
29,netincomediscontinued,29,Commercial Firm Income Statement 
30,extraordinaryincome,30,Commercial Firm Income Statement 
31,otheradjustmentstoconsolidatednetincome,31,Commercial Firm Income Statement 
32,netincome,32,Commercial Firm Income Statement 
33,preferreddividends,33,Commercial Firm Income Statement 
34,netincometononcontrollinginterest,34,Commercial Firm Income Statement 
35,otheradjustmentstonetincometocommon,35,Commercial Firm Income Statement 
36,netincometocommon,36,Commercial Firm Income Statement 
37,weightedavebasicsharesos,37,Commercial Firm Income Statement 
38,basiceps,38,Commercial Firm Income Statement 
39,dilutedeps,40,Commercial Firm Income Statement 
40,weightedavebasicdilutedsharesos,41,Commercial Firm Income Statement 
41,basicdilutedeps,42,Commercial Firm Income Statement 
42,cashdividendspershare,43,Commercial Firm Income Statement 
43,loansandleaseinterestincome,1,Financial Firm Income Statement
44,investmentsecuritiesinterestincome,2,Financial Firm Income Statement
45,depositsinterestincome,3,Financial Firm Income Statement
46,fedfundsandrepointerestincome,4,Financial Firm Income Statement
47,tradingaccountinterestincome,5,Financial Firm Income Statement
48,otherinterestincome,6,Financial Firm Income Statement
49,totalinterestincome,7,Financial Firm Income Statement
50,depositsinterestexpense,8,Financial Firm Income Statement
51,shorttermborrowinginterestexpense,9,Financial Firm Income Statement
52,longtermdebtinterestexpense,10,Financial Firm Income Statement
53,fedfundsandrepointerestexpense,11,Financial Firm Income Statement
54,capitalizedleaseobligationinterestexpense,12,Financial Firm Income Statement
55,otherinterestexpense,13,Financial Firm Income Statement
56,totalinterestexpense,14,Financial Firm Income Statement
57,netinterestincome,15,Financial Firm Income Statement
58,trustfeeincome,16,Financial Firm Income Statement
59,servicechargesondepositsincome,17,Financial Firm Income Statement
60,otherservicechargeincome,18,Financial Firm Income Statement
61,netrealizedcapitalgains,19,Financial Firm Income Statement
62,premiumsearned,20,Financial Firm Income Statement
63,investmentbankingincome,21,Financial Firm Income Statement
64,othernoninterestincome,22,Financial Firm Income Statement
65,totalnoninterestincome,23,Financial Firm Income Statement
66,totalrevenue,24,Financial Firm Income Statement
67,provisionforcreditlosses,25,Financial Firm Income Statement
68,salariesandemployeebenefitsexpense,26,Financial Firm Income Statement
69,netoccupancyequipmentexpense,27,Financial Firm Income Statement
70,marketingexpense,28,Financial Firm Income Statement
71,propertyliabilityinsuranceclaims,29,Financial Firm Income Statement
72,policyacquisitioncosts,30,Financial Firm Income Statement
73,amortizationofdeferredpolicyacquisitioncosts,31,Financial Firm Income Statement
74,currentandfuturebenefits,32,Financial Firm Income Statement
75,otheroperatingexpenses,33,Financial Firm Income Statement
76,depreciationexpense,34,Financial Firm Income Statement
77,amortizationexpense,35,Financial Firm Income Statement
78,impairmentexpense,36,Financial Firm Income Statement
79,restructuringcharge,37,Financial Firm Income Statement
80,otherspecialcharges,38,Financial Firm Income Statement
81,totalnoninterestexpense,39,Financial Firm Income Statement
82,nonoperatingincome,40,Financial Firm Income Statement
83,totalpretaxincome,41,Financial Firm Income Statement
84,incometaxexpense,42,Financial Firm Income Statement
85,othergains,43,Financial Firm Income Statement
86,netincomecontinuing,44,Financial Firm Income Statement
87,netincomediscontinued,45,Financial Firm Income Statement
88,extraordinaryincome,46,Financial Firm Income Statement
89,otheradjustmentstoconsolidatednetincome,47,Financial Firm Income Statement
90,netincome,48,Financial Firm Income Statement
91,preferreddividends,49,Financial Firm Income Statement
92,netincometononcontrollinginterest,50,Financial Firm Income Statement
93,otheradjustmentstonetincometocommon,51,Financial Firm Income Statement
94,netincometocommon,52,Financial Firm Income Statement
95,weightedavebasicsharesos,53,Financial Firm Income Statement
96,basiceps,54,Financial Firm Income Statement
97,dilutedeps,56,Financial Firm Income Statement
98,weightedavebasicdilutedsharesos,57,Financial Firm Income Statement
99,basicdilutedeps,58,Financial Firm Income Statement
100,cashdividendspershare,59,Financial Firm Income Statement
101,cashandequivalents,1,Commercial Firm Balance Sheet
102,restrictedcash,2,Commercial Firm Balance Sheet
103,shortterminvestments,3,Commercial Firm Balance Sheet
104,notereceivable,4,Commercial Firm Balance Sheet
105,accountsreceivable,5,Commercial Firm Balance Sheet
106,netinventory,6,Commercial Firm Balance Sheet
107,prepaidexpenses,7,Commercial Firm Balance Sheet
108,currentdeferredtaxassets,8,Commercial Firm Balance Sheet
109,othercurrentassets,9,Commercial Firm Balance Sheet
110,othercurrentnonoperatingassets,10,Commercial Firm Balance Sheet
111,totalcurrentassets,11,Commercial Firm Balance Sheet
112,grossppe,12,Commercial Firm Balance Sheet
113,accumulateddepreciation,13,Commercial Firm Balance Sheet
114,netppe,14,Commercial Firm Balance Sheet
115,longterminvestments,15,Commercial Firm Balance Sheet
116,noncurrentnotereceivables,16,Commercial Firm Balance Sheet
117,goodwill,17,Commercial Firm Balance Sheet
118,intangibleassets,18,Commercial Firm Balance Sheet
119,noncurrentdeferredtaxassets,19,Commercial Firm Balance Sheet
120,employeebenefitassets,20,Commercial Firm Balance Sheet
121,othernoncurrentassets,21,Commercial Firm Balance Sheet
122,othernoncurrentnonoperatingassets,22,Commercial Firm Balance Sheet
