,date,macroeconomics_indicator,United States,China
0,1947-01-01,RGDP,2.03445,
1,1947-01-01,CPI,2.148e-11,
2,1947-04-01,RGDP,2.029024,
3,1947-04-01,CPI,2.1999999999999998e-11,
4,1947-07-01,RGDP,2.024834,
5,1947-07-01,CPI,2.223e-11,
6,1947-10-01,RGDP,2.056508,
7,1947-10-01,CPI,2.2909999999999998e-11,
8,1948-01-01,RGDP,2.087442,
9,1948-01-01,CPI,2.368e-11,
10,1948-04-01,RGDP,2.121899,
11,1948-04-01,CPI,2.3819999999999998e-11,
12,1948-07-01,RGDP,2.134056,
13,1948-07-01,CPI,2.4399999999999998e-11,
14,1948-10-01,RGDP,2.13644,
15,1948-10-01,CPI,2.4309999999999998e-11,
16,1949-01-01,RGDP,2.107001,
17,1949-01-01,CPI,2.401e-11,
18,1949-04-01,RGDP,2.099814,
19,1949-04-01,CPI,2.392e-11,
20,1949-07-01,RGDP,2.121493,
21,1949-07-01,CPI,2.37e-11,
22,1949-10-01,RGDP,2.103688,
23,1949-10-01,CPI,2.367e-11,
24,1950-01-01,RGDP,2.186365,
25,1950-01-01,CPI,2.351e-11,
26,1950-04-01,RGDP,2.2530449999999997,
27,1950-04-01,CPI,2.3649999999999997e-11,
28,1950-07-01,RGDP,2.340112,
29,1950-07-01,CPI,2.407e-11,
30,1950-10-01,RGDP,2.38492,
31,1950-10-01,CPI,2.45e-11,
32,1951-01-01,RGDP,2.4173109999999998,
33,1951-01-01,CPI,2.5379999999999997e-11,
34,1951-04-01,RGDP,2.459196,
35,1951-04-01,CPI,2.5920000000000003e-11,
36,1951-07-01,RGDP,2.50988,
37,1951-07-01,CPI,2.591e-11,
38,1951-10-01,RGDP,2.515408,
39,1951-10-01,CPI,2.616e-11,
40,1952-01-01,RGDP,2.542286,
41,1952-01-01,CPI,2.645e-11,
42,1952-04-01,RGDP,2.547762,
43,1952-04-01,CPI,2.646e-11,
44,1952-07-01,RGDP,2.566153,
45,1952-07-01,CPI,2.668e-11,
46,1952-10-01,RGDP,2.6504309999999998,
47,1952-10-01,CPI,2.669e-11,
48,1953-01-01,RGDP,2.699699,
49,1953-01-01,CPI,2.664e-11,
50,1953-04-01,RGDP,2.720566,
51,1953-04-01,CPI,2.669e-11,
52,1953-07-01,RGDP,2.705258,
53,1953-07-01,CPI,2.679e-11,
54,1953-10-01,RGDP,2.6643019999999997,
55,1953-10-01,CPI,2.6949999999999998e-11,
56,1954-01-01,RGDP,2.651566,
57,1954-01-01,CPI,2.694e-11,
58,1954-04-01,RGDP,2.654456,
59,1954-04-01,CPI,2.6859999999999998e-11,
60,1954-07-01,RGDP,2.684434,
61,1954-07-01,CPI,2.6859999999999998e-11,
62,1954-10-01,RGDP,2.73696,
63,1954-10-01,CPI,2.672e-11,
64,1955-01-01,RGDP,2.815134,
65,1955-01-01,CPI,2.677e-11,
66,1955-04-01,RGDP,2.860942,
67,1955-04-01,CPI,2.679e-11,
68,1955-07-01,RGDP,2.899578,
69,1955-07-01,CPI,2.676e-11,
70,1955-10-01,RGDP,2.916985,
71,1955-10-01,CPI,2.682e-11,
72,1956-01-01,RGDP,2.905656,
73,1956-01-01,CPI,2.6829999999999996e-11,
74,1956-04-01,RGDP,2.929666,
75,1956-04-01,CPI,2.6929999999999998e-11,
