,index,date,open,low,high,close,volume,symbol,vendor_name
0,0,2023-08-04 16:00:00,327.78,327.78,327.94,327.92,473956,MSFT,financial modeling prep
1,1,2023-08-04 15:59:00,327.74,327.5,327.91,327.8,404624,MSFT,financial modeling prep
2,2,2023-08-04 15:58:00,327.6,327.55,327.84,327.75,170120,MSFT,financial modeling prep
3,3,2023-08-04 15:57:00,327.72,327.52,327.919,327.6,101990,MSFT,financial modeling prep
4,4,2023-08-04 15:56:00,327.48,327.48,327.74,327.74,115273,MSFT,financial modeling prep
5,5,2023-08-04 15:55:00,327.52,327.24,327.52,327.475,131072,MSFT,financial modeling prep
6,6,2023-08-04 15:54:00,327.88,327.49,327.95,327.52,94261,MSFT,financial modeling prep
7,7,2023-08-04 15:53:00,327.57,327.53,327.95,327.875,81054,MSFT,financial modeling prep
8,8,2023-08-04 15:52:00,327.84,327.51,327.92,327.56,72188,MSFT,financial modeling prep
9,9,2023-08-04 15:51:00,327.585,327.47,327.915,327.84,147017,MSFT,financial modeling prep
10,10,2023-08-04 15:50:00,327.76,327.52,327.8,327.56,84584,MSFT,financial modeling prep
11,11,2023-08-04 15:49:00,327.685,327.56,327.79,327.76,49620,MSFT,financial modeling prep
12,12,2023-08-04 15:48:00,327.84,327.67,327.8499,327.69,39158,MSFT,financial modeling prep
13,13,2023-08-04 15:47:00,327.63,327.56,327.84,327.82,42373,MSFT,financial modeling prep
14,14,2023-08-04 15:46:00,327.82,327.62,327.92,327.62,44636,MSFT,financial modeling prep
15,15,2023-08-04 15:45:00,327.6266,327.53,327.92,327.84,82356,MSFT,financial modeling prep
16,16,2023-08-04 15:44:00,327.65,327.56,327.65,327.6127,50583,MSFT,financial modeling prep
17,17,2023-08-04 15:43:00,327.83,327.6208,327.8799,327.65,38637,MSFT,financial modeling prep
18,18,2023-08-04 15:42:00,327.76,327.71,327.88,327.82,31248,MSFT,financial modeling prep
19,19,2023-08-04 15:41:00,327.78,327.65,327.87,327.74,41881,MSFT,financial modeling prep
20,20,2023-08-04 15:40:00,327.76,327.66,327.93,327.8,48204,MSFT,financial modeling prep
21,21,2023-08-04 15:39:00,327.78,327.6,327.835,327.76,63166,MSFT,financial modeling prep
22,22,2023-08-04 15:38:00,328.16,327.75,328.24,327.79,59162,MSFT,financial modeling prep
23,23,2023-08-04 15:37:00,328.18,328.11,328.2787,328.17,26580,MSFT,financial modeling prep
24,24,2023-08-04 15:36:00,328.09,328.07,328.2426,328.165,35381,MSFT,financial modeling prep
25,25,2023-08-04 15:35:00,328.22,328.05,328.33,328.095,43485,MSFT,financial modeling prep
26,26,2023-08-04 15:34:00,328.35,328.16,328.37,328.2057,43666,MSFT,financial modeling prep
27,27,2023-08-04 15:33:00,328.63,328.29,328.63,328.29,24697,MSFT,financial modeling prep
28,28,2023-08-04 15:32:00,328.57,328.52,328.73,328.58,26905,MSFT,financial modeling prep
29,29,2023-08-04 15:31:00,328.49,328.3201,328.55,328.55,30280,MSFT,financial modeling prep
30,30,2023-08-04 15:30:00,328.4,328.4,328.61,328.5,39425,MSFT,financial modeling prep
31,31,2023-08-04 15:29:00,328.04,328.01,328.38,328.375,43375,MSFT,financial modeling prep
32,32,2023-08-04 15:28:00,328.055,327.97,328.1,328.06,34024,MSFT,financial modeling prep
33,33,2023-08-04 15:27:00,328.01,327.85,328.12,328.055,53722,MSFT,financial modeling prep
34,34,2023-08-04 15:26:00,328.14,327.98,328.16,328.0,40068,MSFT,financial modeling prep
35,35,2023-08-04 15:25:00,328.11,328.1,328.2,328.15,26660,MSFT,financial modeling prep
36,36,2023-08-04 15:24:00,328.135,328.0,328.2,328.1,44176,MSFT,financial modeling prep
37,37,2023-08-04 15:23:00,328.07,328.02,328.19,328.13,49876,MSFT,financial modeling prep
38,38,2023-08-04 15:22:00,328.25,328.05,328.35,328.065,65181,MSFT,financial modeling prep
39,39,2023-08-04 15:21:00,328.685,328.26,328.73,328.28,36728,MSFT,financial modeling prep
40,40,2023-08-04 15:20:00,328.42,328.32,328.73,328.67,45646,MSFT,financial modeling prep
41,41,2023-08-04 15:19:00,328.49,328.39,328.52,328.3901,40870,MSFT,financial modeling prep
42,42,2023-08-04 15:18:00,328.89,328.4,328.91,328.45,56225,MSFT,financial modeling prep
43,43,2023-08-04 15:17:00,328.755,328.685,328.9234,328.884,43323,MSFT,financial modeling prep
44,44,2023-08-04 15:16:00,329.07,328.8,329.11,328.8,48722,MSFT,financial modeling prep
45,45,2023-08-04 15:15:00,329.015,328.9,329.1896,329.06,46816,MSFT,financial modeling prep
46,46,2023-08-04 15:14:00,329.06,328.83,329.14,328.97,47065,MSFT,financial modeling prep
47,47,2023-08-04 15:13:00,329.02,328.87,329.1,329.06,37119,MSFT,financial modeling prep
48,48,2023-08-04 15:12:00,328.9,328.8,329.09,329.0,38491,MSFT,financial modeling prep
49,49,2023-08-04 15:11:00,328.47,328.46,329.015,328.94,40744,MSFT,financial modeling prep
50,50,2023-08-04 15:10:00,328.14,328.13,328.52,328.455,46795,MSFT,financial modeling prep
51,51,2023-08-04 15:09:00,328.36,328.04,328.43,328.14,96297,MSFT,financial modeling prep
52,52,2023-08-04 15:08:00,328.55,328.2778,328.575,328.36,78099,MSFT,financial modeling prep
53,53,2023-08-04 15:07:00,328.675,328.49,328.7224,328.56,55750,MSFT,financial modeling prep
54,54,2023-08-04 15:06:00,328.52,328.485,328.75,328.65,60649,MSFT,financial modeling prep
55,55,2023-08-04 15:05:00,328.83,328.5,328.92,328.515,76853,MSFT,financial modeling prep
56,56,2023-08-04 15:04:00,328.9,328.81,328.96,328.84,66761,MSFT,financial modeling prep
57,57,2023-08-04 15:03:00,329.04,328.9,329.12,328.93,61722,MSFT,financial modeling prep
58,58,2023-08-04 15:02:00,329.075,329.04,329.27,329.0928,52819,MSFT,financial modeling prep
59,59,2023-08-04 15:01:00,329.195,328.9,329.25,329.09,61523,MSFT,financial modeling prep
60,60,2023-08-04 15:00:00,328.96,328.94,329.4,329.18,43067,MSFT,financial modeling prep
61,61,2023-08-04 14:59:00,329.23,328.98,329.32,329.03,36975,MSFT,financial modeling prep
62,62,2023-08-04 14:58:00,329.31,329.1,329.32,329.2,19582,MSFT,financial modeling prep
63,63,2023-08-04 14:57:00,328.98,328.96,329.36,329.36,35571,MSFT,financial modeling prep
64,64,2023-08-04 14:56:00,328.9,328.84,329.04,328.99,40471,MSFT,financial modeling prep
65,65,2023-08-04 14:55:00,329.21,328.8,329.21,328.9,71332,MSFT,financial modeling prep
66,66,2023-08-04 14:54:00,329.22,329.07,329.25,329.18,36701,MSFT,financial modeling prep
67,67,2023-08-04 14:53:00,329.73,329.19,329.73,329.22,44684,MSFT,financial modeling prep
68,68,2023-08-04 14:52:00,330.02,329.67,330.03,329.75,38563,MSFT,financial modeling prep
69,69,2023-08-04 14:51:00,329.61,329.58,330.04,330.02,75828,MSFT,financial modeling prep
70,70,2023-08-04 14:50:00,329.33,329.27,329.6,329.59,22511,MSFT,financial modeling prep
71,71,2023-08-04 14:49:00,329.38,329.2,329.38,329.31,24812,MSFT,financial modeling prep
72,72,2023-08-04 14:48:00,329.01,328.9503,329.39,329.36,30944,MSFT,financial modeling prep
73,73,2023-08-04 14:47:00,329.0,328.8,329.1,329.05,32624,MSFT,financial modeling prep
74,74,2023-08-04 14:46:00,329.14,328.98,329.28,328.99,22394,MSFT,financial modeling prep
75,75,2023-08-04 14:45:00,329.33,329.13,329.41,329.13,28720,MSFT,financial modeling prep
76,76,2023-08-04 14:44:00,328.96,328.85,329.37,329.35,28270,MSFT,financial modeling prep
77,77,2023-08-04 14:43:00,329.47,328.96,329.47,329.0,39430,MSFT,financial modeling prep
78,78,2023-08-04 14:42:00,329.31,329.2,329.56,329.43,30994,MSFT,financial modeling prep
79,79,2023-08-04 14:41:00,329.1017,328.99,329.35,329.35,44492,MSFT,financial modeling prep
80,80,2023-08-04 14:40:00,329.07,329.04,329.31,329.16,44605,MSFT,financial modeling prep
81,81,2023-08-04 14:39:00,329.24,329.01,329.28,329.07,44321,MSFT,financial modeling prep
82,82,2023-08-04 14:38:00,329.43,329.21,329.46,329.22,30541,MSFT,financial modeling prep
83,83,2023-08-04 14:37:00,329.48,329.29,329.56,329.41,39358,MSFT,financial modeling prep
84,84,2023-08-04 14:36:00,329.62,329.4701,329.7411,329.51,22439,MSFT,financial modeling prep
85,85,2023-08-04 14:35:00,329.82,329.39,329.82,329.6,41847,MSFT,financial modeling prep
86,86,2023-08-04 14:34:00,329.63,329.43,329.795,329.7647,17614,MSFT,financial modeling prep
87,87,2023-08-04 14:33:00,329.615,329.56,329.8199,329.62,40169,MSFT,financial modeling prep
88,88,2023-08-04 14:32:00,329.81,329.421,329.81,329.61,46435,MSFT,financial modeling prep
89,89,2023-08-04 14:31:00,330.03,329.71,330.065,329.83,24274,MSFT,financial modeling prep
90,90,2023-08-04 14:30:00,329.77,329.74,330.37,330.1,26072,MSFT,financial modeling prep
91,91,2023-08-04 14:29:00,330.03,329.79,330.19,329.79,28341,MSFT,financial modeling prep
92,92,2023-08-04 14:28:00,330.061,329.97,330.22,330.03,34544,MSFT,financial modeling prep
93,93,2023-08-04 14:27:00,330.04,329.92,330.14,330.06,35984,MSFT,financial modeling prep
94,94,2023-08-04 14:26:00,329.6,329.5917,330.19,330.04,47118,MSFT,financial modeling prep
95,95,2023-08-04 14:25:00,329.7,329.53,329.84,329.54,49681,MSFT,financial modeling prep
96,96,2023-08-04 14:24:00,329.8,329.61,329.8,329.75,46692,MSFT,financial modeling prep
97,97,2023-08-04 14:23:00,329.58,329.57,329.9,329.8,54104,MSFT,financial modeling prep
98,98,2023-08-04 14:22:00,329.8,329.4853,329.84,329.615,39675,MSFT,financial modeling prep
99,99,2023-08-04 14:21:00,329.81,329.75,329.99,329.82,35759,MSFT,financial modeling prep
100,100,2023-08-04 14:20:00,330.255,329.81,330.255,329.81,41231,MSFT,financial modeling prep
101,101,2023-08-04 14:19:00,330.07,329.92,330.32,330.28,39315,MSFT,financial modeling prep
102,102,2023-08-04 14:18:00,330.5486,329.97,330.5486,330.04,76359,MSFT,financial modeling prep
103,103,2023-08-04 14:17:00,330.5,330.49,330.69,330.6146,13961,MSFT,financial modeling prep
104,104,2023-08-04 14:16:00,330.74,330.512,330.7838,330.512,28020,MSFT,financial modeling prep
105,105,2023-08-04 14:15:00,330.81,330.666,330.88,330.75,40767,MSFT,financial modeling prep
106,106,2023-08-04 14:14:00,331.0885,330.8,331.09,330.82,25216,MSFT,financial modeling prep
107,107,2023-08-04 14:13:00,331.04,330.93,331.18,331.1,28423,MSFT,financial modeling prep
108,108,2023-08-04 14:12:00,330.935,330.78,331.07,331.04,39392,MSFT,financial modeling prep
109,109,2023-08-04 14:11:00,330.67,330.5,331.06,330.89,67026,MSFT,financial modeling prep
110,110,2023-08-04 14:10:00,330.748,330.44,330.75,330.69,100243,MSFT,financial modeling prep
111,111,2023-08-04 14:09:00,330.52,330.46,330.77,330.72,48807,MSFT,financial modeling prep
112,112,2023-08-04 14:08:00,330.5099,330.21,330.64,330.52,37283,MSFT,financial modeling prep
113,113,2023-08-04 14:07:00,330.64,330.36,330.78,330.46,33735,MSFT,financial modeling prep
114,114,2023-08-04 14:06:00,330.18,330.15,330.66,330.57,44351,MSFT,financial modeling prep
115,115,2023-08-04 14:05:00,330.36,330.2,330.64,330.2,44684,MSFT,financial modeling prep
116,116,2023-08-04 14:04:00,330.81,330.26,330.87,330.38,57286,MSFT,financial modeling prep
117,117,2023-08-04 14:03:00,331.03,330.78,331.1,330.7884,37754,MSFT,financial modeling prep
118,118,2023-08-04 14:02:00,331.03,330.84,331.15,331.03,37644,MSFT,financial modeling prep
119,119,2023-08-04 14:01:00,331.6,330.93,331.6,331.05,93365,MSFT,financial modeling prep
120,120,2023-08-04 14:00:00,331.83,331.53,331.8552,331.58,38316,MSFT,financial modeling prep
121,121,2023-08-04 13:59:00,331.65,331.64,331.94,331.8954,21989,MSFT,financial modeling prep
122,122,2023-08-04 13:58:00,331.88,331.5937,331.96,331.5937,42716,MSFT,financial modeling prep
123,123,2023-08-04 13:57:00,331.8828,331.72,331.96,331.875,12755,MSFT,financial modeling prep
124,124,2023-08-04 13:56:00,331.915,331.67,331.94,331.88,33244,MSFT,financial modeling prep
125,125,2023-08-04 13:55:00,332.17,331.81,332.26,331.91,50630,MSFT,financial modeling prep
126,126,2023-08-04 13:54:00,332.425,332.13,332.46,332.19,19938,MSFT,financial modeling prep
